id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tags,instrumentalness,liveness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,85,2020s,uplifting|bright|carefree,0.05,0.12
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,62,2020s,mellow|dreamy|calm,0.80,0.08
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,74,2010s,powerful|raw|driving,0.15,0.35
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,55,2020s,peaceful|soft|ambient,0.85,0.05
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,91,2020s,pumped|aggressive|euphoric,0.02,0.20
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,38,2010s,ethereal|spacious|dreamy,0.95,0.04
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,45,2000s,warm|nostalgic|intimate,0.30,0.42
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,68,2010s,dark|retro|atmospheric,0.40,0.10
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,58,2020s,steady|minimal|calm,0.90,0.06
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,72,2020s,uplifting|nostalgic|bright,0.08,0.18
11,Late Night Bars,Dre Vox,hip-hop,moody,0.70,95,0.52,0.75,0.12,78,2020s,dark|introspective|smooth,0.10,0.15
12,Morning Sonata,Clara Keys,classical,relaxed,0.22,68,0.62,0.30,0.97,32,1990s,serene|elegant|contemplative,0.98,0.08
13,Bass Cathedral,Synk Drop,electronic,intense,0.95,140,0.55,0.90,0.03,82,2020s,euphoric|heavy|driving,0.70,0.25
14,Slow Honey,Rielle,r&b,romantic,0.50,88,0.74,0.70,0.40,65,2010s,sensual|smooth|warm,0.05,0.12
15,Dust Road,Hank Cline,country,nostalgic,0.58,104,0.66,0.64,0.82,48,2000s,wistful|earthy|storytelling,0.12,0.55
16,Iron Lung,Shred Theory,metal,aggressive,0.98,170,0.30,0.45,0.07,60,2010s,brutal|raw|powerful,0.20,0.65
17,Island Time,Cool Breeze,reggae,chill,0.45,82,0.78,0.72,0.55,52,2000s,laid-back|sunny|warm,0.15,0.30
18,Cabin Hymn,Ember Folk,folk,melancholy,0.33,76,0.42,0.48,0.94,35,2010s,intimate|bittersweet|organic,0.25,0.40
19,Fuego Lento,Sol Ritmo,latin,happy,0.80,116,0.86,0.92,0.28,88,2020s,fiery|joyful|rhythmic,0.08,0.22
20,Broken Strings,Muddy Ray,blues,sad,0.48,70,0.35,0.50,0.88,40,1990s,raw|soulful|melancholic,0.10,0.70
